Genus;Tribe;Subfamily;Sp;Sp_red;Diet (this study);Funtional_diet (this study);Diet (Zelditch et al. 2017);Diet (McLean et al. 2018);mean Weight;References;mean Centroid size;Labial.X;Labial.Y;Posterior.X;Posterior.Y;Lingual.X;Lingual.Y;Anterior.X;Anterior.Y;curveLM.5.X;curveLM.5.Y;curveLM.6.X;curveLM.6.Y;curveLM.7.X;curveLM.7.Y;curveLM.8.X;curveLM.8.Y;curveLM.9.X;curveLM.9.Y;curveLM.10.X;curveLM.10.Y;curveLM.11.X;curveLM.11.Y;curveLM.12.X;curveLM.12.Y;curveLM.13.X;curveLM.13.Y;curveLM.14.X;curveLM.14.Y;curveLM.15.X;curveLM.15.Y;curveLM.16.X;curveLM.16.Y;curveLM.17.X;curveLM.17.Y;curveLM.18.X;curveLM.18.Y;curveLM.19.X;curveLM.19.Y;curveLM.20.X;curveLM.20.Y;curveLM.21.X;curveLM.21.Y;curveLM.22.X;curveLM.22.Y;curveLM.23.X;curveLM.23.Y;curveLM.24.X;curveLM.24.Y;curveLM.25.X;curveLM.25.Y;curveLM.26.X;curveLM.26.Y;curveLM.27.X;curveLM.27.Y;curveLM.28.X;curveLM.28.Y;curveLM.29.X;curveLM.29.Y;curveLM.30.X;curveLM.30.Y;curveLM.31.X;curveLM.31.Y;curveLM.32.X;curveLM.32.Y;curveLM.33.X;curveLM.33.Y;curveLM.34.X;curveLM.34.Y;curveLM.35.X;curveLM.35.Y;curveLM.36.X;curveLM.36.Y;curveLM.37.X;curveLM.37.Y;curveLM.38.X;curveLM.38.Y;curveLM.39.X;curveLM.39.Y;curveLM.40.X;curveLM.40.Y;curveLM.41.X;curveLM.41.Y;curveLM.42.X;curveLM.42.Y;curveLM.43.X;curveLM.43.Y;curveLM.44.X;curveLM.44.Y;curveLM.45.X;curveLM.45.Y;curveLM.46.X;curveLM.46.Y;curveLM.47.X;curveLM.47.Y;curveLM.48.X;curveLM.48.Y;curveLM.49.X;curveLM.49.Y;curveLM.50.X;curveLM.50.Y;curveLM.51.X;curveLM.51.Y;curveLM.52.X;curveLM.52.Y;curveLM.53.X;curveLM.53.Y;curveLM.54.X;curveLM.54.Y;curveLM.55.X;curveLM.55.Y;curveLM.56.X;curveLM.56.Y;curveLM.57.X;curveLM.57.Y;curveLM.58.X;curveLM.58.Y;curveLM.59.X;curveLM.59.Y;curveLM.60.X;curveLM.60.Y;curveLM.61.X;curveLM.61.Y;curveLM.62.X;curveLM.62.Y;curveLM.63.X;curveLM.63.Y;curveLM.64.X;curveLM.64.Y
Callosciurus;Callosciurini;Callosciurinae;Callosciurus caniceps;Cal_can;Browser;chew_crush;browse;;289.5;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;9.797342698;0.001726202;-0.101241308;-0.121641225;0.006709695;0.004378482;0.112791351;0.131285293;0.000148629;-0.010257797;-0.106373684;-0.023063897;-0.112366911;-0.036668755;-0.118443238;-0.051609257;-0.122699035;-0.067442055;-0.124689148;-0.083623109;-0.123335079;-0.098849648;-0.117092707;-0.112524324;-0.108353345;-0.123030222;-0.096546806;-0.130741597;-0.082885692;-0.135064626;-0.068203189;-0.135942049;-0.053270898;-0.132564649;-0.038485227;-0.127497185;-0.023741861;-0.123677802;-0.008654678;-0.118452921;0.018893829;-0.114961086;0.030939733;-0.111531622;0.04296461;-0.108299322;0.054897153;-0.104077937;0.066206906;-0.098373257;0.076570543;-0.091540678;0.086042158;-0.082770366;0.093741819;-0.072935983;0.100755507;-0.062427422;0.107213013;-0.051536334;0.112786511;-0.040385402;0.116903559;-0.02924558;0.119174391;-0.017949438;0.118535348;-0.006728354;0.116328563;0.015954901;0.109733143;0.02764068;0.105955242;0.039502685;0.101967708;0.051384041;0.097910672;0.06367164;0.095223797;0.075580548;0.091446086;0.086862054;0.086807607;0.096948543;0.080980125;0.105313607;0.073297005;0.112036214;0.064027374;0.117858189;0.054159344;0.123183406;0.044119103;0.126277385;0.033333686;0.128212962;0.022240851;0.130305815;0.011210621;0.1300758;-0.010929981;0.128018691;-0.022117255;0.124254071;-0.033054142;0.118855476;-0.04334447;0.112135959;-0.052913464;0.104947369;-0.062317129;0.096648403;-0.070785512;0.08772142;-0.078675287;0.077661989;-0.085338813;0.067188226;-0.091220794;0.056067828;-0.095274506;0.044686447;-0.097490769;0.033152962;-0.097853494;0.021990551;-0.09803288;0.011507701;-0.098473503
Callosciurus;Callosciurini;Callosciurinae;Callosciurus erythraeus;Cal_ery;Seeds_nuts;chew_crush;bark;;330.5;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;9.13635847;-0.000698578;-0.100592859;-0.126272926;0.006224;0.004321222;0.109996251;0.133505499;-0.002180225;-0.01229801;-0.10492425;-0.02415559;-0.110566605;-0.03694306;-0.115547167;-0.050830212;-0.119464588;-0.065691998;-0.120659538;-0.08099643;-0.119750853;-0.095401868;-0.114449201;-0.108285952;-0.106755827;-0.117679923;-0.095359393;-0.124944774;-0.082105697;-0.128948173;-0.067632955;-0.130583454;-0.05270088;-0.131745785;-0.037765175;-0.130272077;-0.022934698;-0.12822563;-0.008274708;-0.123227798;0.017960965;-0.120804702;0.029862959;-0.116513912;0.041255803;-0.112204776;0.052772464;-0.106758427;0.063684354;-0.099827642;0.073651219;-0.091399074;0.082431702;-0.082907501;0.091252528;-0.073980862;0.099629154;-0.064546804;0.106980772;-0.053765715;0.111933882;-0.042505252;0.11530979;-0.030807357;0.116047217;-0.019096807;0.115237702;-0.00743006;0.112766334;0.016203172;0.107633112;0.028231618;0.105660676;0.040516884;0.104064635;0.052759019;0.102524236;0.06476304;0.099621176;0.076383582;0.095598074;0.087313205;0.090541308;0.096853811;0.08360904;0.10477277;0.074640905;0.112481799;0.065239417;0.118514459;0.054589047;0.12336868;0.043348771;0.127460748;0.031988961;0.130904606;0.020783173;0.132669004;0.009384364;0.133175941;-0.013719172;0.131145094;-0.025146552;0.125978609;-0.036071388;0.11994639;-0.046863565;0.112949757;-0.056927674;0.104522562;-0.065629679;0.094984078;-0.072838363;0.085834702;-0.08081211;0.075903729;-0.08805525;0.065154128;-0.093702746;0.0536869;-0.097201605;0.041859569;-0.098176317;0.030189286;-0.098148631;0.019154254;-0.097379224;0.009017572;-0.098201486
Callosciurus;Callosciurini;Callosciurinae;Callosciurus finlaysonii;Cal_fin;Seeds_nuts;chew_crush;seeds;;278;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;7.608152361;0.001343847;-0.102854006;-0.12457911;0.005389426;0.004409929;0.113875475;0.132359584;-4.41E-06;-0.010496619;-0.107183138;-0.022967251;-0.111945704;-0.036358106;-0.115729468;-0.050731227;-0.118490753;-0.065949901;-0.118881961;-0.081651278;-0.116185305;-0.096871747;-0.110477258;-0.110334943;-0.10244712;-0.120883835;-0.091898036;-0.128326651;-0.079151099;-0.132915664;-0.065372154;-0.134430207;-0.051169542;-0.133988931;-0.036921654;-0.131137208;-0.022869332;-0.127695784;-0.008802969;-0.122658518;0.017287007;-0.120513363;0.029202011;-0.117063699;0.040832345;-0.112645011;0.052112299;-0.106422734;0.062542548;-0.099382558;0.072614743;-0.091670785;0.082077301;-0.082367919;0.090211196;-0.072242501;0.097821954;-0.062404435;0.105791974;-0.052032201;0.112375439;-0.04111434;0.116753328;-0.029891069;0.118702273;-0.018506939;0.118269175;-0.007030915;0.116579826;0.016091542;0.111319272;0.02775457;0.108188091;0.0396535;0.105231178;0.051552902;0.102001666;0.063256394;0.097935389;0.074704709;0.093225123;0.085298172;0.087248014;0.095178798;0.080473712;0.103945947;0.072563211;0.111266571;0.063252638;0.117576494;0.053262075;0.123260672;0.043276021;0.126473348;0.032559984;0.129455235;0.021788546;0.13177989;0.01098216;0.131067413;-0.011124452;0.128615655;-0.022539686;0.124133224;-0.033826418;0.118745263;-0.044881891;0.112537229;-0.055560844;0.105315732;-0.065509854;0.098310993;-0.075278805;0.089922342;-0.08338932;0.079414713;-0.088897233;0.068520572;-0.09406088;0.056932482;-0.097001225;0.045088234;-0.098090045;0.033411909;-0.09804931;0.022067542;-0.098221817;0.011354586;-0.09977956
Callosciurus;Callosciurini;Callosciurinae;Callosciurus melanogaster;Cal_mel;Browser;chew_crush;Browser;;146.15;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;9.210234448;0.000148139;-0.101508393;-0.122981246;0.006904256;0.003187523;0.111960778;0.129448365;0.000914667;-0.010324114;-0.107273842;-0.022250853;-0.112702129;-0.034580715;-0.11876169;-0.048566845;-0.122062945;-0.063506388;-0.123442773;-0.078943129;-0.121534943;-0.093773457;-0.115889139;-0.106507982;-0.106552953;-0.116225133;-0.093776905;-0.12433491;-0.079552249;-0.130311224;-0.064886917;-0.133908312;-0.050412916;-0.13354648;-0.036025206;-0.130020791;-0.021855515;-0.126114461;-0.007568989;-0.12029926;0.018901816;-0.117952296;0.031045669;-0.114707027;0.042971104;-0.110163434;0.054459829;-0.105383053;0.065589035;-0.099639334;0.075974707;-0.092766404;0.085309739;-0.083723251;0.092859972;-0.073919015;0.100147343;-0.063808381;0.107336823;-0.05322273;0.113369841;-0.042333914;0.117619;-0.031093018;0.119112799;-0.019698507;0.117981618;-0.008267836;0.115221297;0.015003244;0.109039823;0.026955256;0.106103119;0.0389004;0.102463372;0.050907881;0.098908753;0.063136481;0.096228296;0.074980657;0.093087011;0.086235864;0.088903976;0.096440351;0.083462123;0.10488238;0.07597739;0.112058711;0.067143197;0.117925555;0.05723104;0.122528428;0.046716473;0.126101996;0.035884326;0.127801949;0.024540878;0.128942745;0.01287837;0.128509584;-0.011334093;0.126008438;-0.023734518;0.122779026;-0.036224127;0.118012554;-0.048121437;0.112014636;-0.059238376;0.104778592;-0.069159708;0.0960574;-0.07778844;0.08648338;-0.08556243;0.076244344;-0.09222016;0.064785526;-0.096396395;0.052907448;-0.099048009;0.041082386;-0.100420985;0.029630532;-0.100082163;0.018975389;-0.09876457;0.009248677;-0.099116552
Callosciurus;Callosciurini;Callosciurinae;Callosciurus nigrovittatus;Cal_nig;Frugivorous;chew_crush;soft;;220.5;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;7.942715058;0.000712495;-0.103658547;-0.122372009;0.005429794;0.002742805;0.112040311;0.129664061;0.000983374;-0.010526412;-0.108918185;-0.022828355;-0.114142517;-0.036362062;-0.117996569;-0.051041662;-0.120677161;-0.066511108;-0.121572419;-0.082372113;-0.11907245;-0.097674638;-0.113803586;-0.110603305;-0.104828904;-0.120938176;-0.09335198;-0.128719288;-0.080202988;-0.133300352;-0.066162957;-0.134091916;-0.051621345;-0.13282146;-0.037040362;-0.130028583;-0.022639527;-0.12647342;-0.008473241;-0.119375815;0.017003066;-0.116595757;0.028758106;-0.112619973;0.040236623;-0.107841537;0.051512876;-0.102516654;0.062470814;-0.09580404;0.072506339;-0.088411848;0.081929505;-0.080399431;0.090678748;-0.0722715;0.099161226;-0.06281504;0.106006455;-0.052685773;0.111532033;-0.042221456;0.115468856;-0.031167817;0.116627175;-0.019952685;0.116077933;-0.008713926;0.114000106;0.014460337;0.109000615;0.026590148;0.106116972;0.039245043;0.104597775;0.051811107;0.101919236;0.064307129;0.098347923;0.076714341;0.094647914;0.088633523;0.09022168;0.099308895;0.084308431;0.108229918;0.076490145;0.115815417;0.067374674;0.122078238;0.057414186;0.126173634;0.046556583;0.129212497;0.03531865;0.131089932;0.023905827;0.13155307;0.012425524;0.127457738;-0.010838829;0.125113458;-0.022927742;0.12141996;-0.034876301;0.117062078;-0.046455099;0.111976949;-0.057327869;0.105502649;-0.066807279;0.096570291;-0.073967904;0.086874184;-0.080908542;0.076631134;-0.087433155;0.065778636;-0.092810703;0.054317044;-0.096178623;0.042797121;-0.098569966;0.031365522;-0.099661193;0.020371155;-0.100250945;0.010073898;-0.100779179
Callosciurus;Callosciurini;Callosciurinae;Callosciurus notatus;Cal_not;Seeds_nuts;chew_crush;seeds;;226.5;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;8.220717344;0.000513091;-0.099314343;-0.123666314;0.009071977;0.004892396;0.110666246;0.130560552;-0.000583239;-0.009448169;-0.105746364;-0.021282067;-0.112066218;-0.034415524;-0.117972126;-0.048656224;-0.122890895;-0.064123136;-0.124548616;-0.080162619;-0.123301377;-0.095428105;-0.11713086;-0.109157954;-0.10835921;-0.119751174;-0.096150236;-0.128263998;-0.082308721;-0.133354124;-0.067350736;-0.134861739;-0.051947086;-0.132984698;-0.036379294;-0.131015362;-0.020761257;-0.127517934;-0.005632354;-0.121443129;0.021009104;-0.119140669;0.032678103;-0.116348478;0.044204875;-0.1124002;0.055197464;-0.107580942;0.065662042;-0.101576274;0.075412883;-0.094757498;0.084419971;-0.086423238;0.092250445;-0.077039771;0.099332726;-0.066413299;0.105017998;-0.055359058;0.110038013;-0.043574219;0.112865997;-0.031450497;0.114089865;-0.019232547;0.113696773;-0.007113886;0.11242173;0.016830657;0.108048367;0.028836277;0.105516744;0.04072571;0.10227251;0.05260259;0.098995955;0.064400559;0.0950126;0.076071021;0.090745278;0.086930627;0.085149608;0.096862872;0.0784893;0.105904909;0.071011289;0.113993952;0.062887101;0.119892071;0.05326432;0.124773827;0.043258204;0.127721376;0.032686681;0.129521835;0.021865369;0.130311923;0.010755397;0.130004595;-0.012003391;0.128082718;-0.023574399;0.125068887;-0.035158021;0.120087616;-0.045966079;0.113210902;-0.055894667;0.106090497;-0.065609659;0.09716037;-0.073710949;0.08774897;-0.081465578;0.077444886;-0.087866331;0.065818342;-0.091810021;0.05391574;-0.094934119;0.042060548;-0.096815088;0.030472268;-0.097507339;0.019497443;-0.096827294;0.009495729;-0.096819991
Callosciurus;Callosciurini;Callosciurinae;Callosciurus orestes;Cal_ore;Frugivorous;chew_crush;soft;;278;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;6.848614067;-0.002063524;-0.103721261;-0.125179927;0.0057813;0.003837737;0.113310657;0.132873639;-0.003622354;-0.013357973;-0.107189459;-0.024997201;-0.11153979;-0.036712572;-0.116335757;-0.049679913;-0.118122302;-0.063611222;-0.118147299;-0.078061436;-0.116511981;-0.091735954;-0.111718909;-0.10304981;-0.102674557;-0.112871661;-0.091970271;-0.119874973;-0.079043002;-0.124573647;-0.065127437;-0.127210252;-0.050978134;-0.127789211;-0.036722215;-0.127493599;-0.022555727;-0.12592743;-0.008449008;-0.123622025;0.017582632;-0.121946349;0.029504749;-0.11870901;0.041167078;-0.114842261;0.052649473;-0.109130891;0.063336233;-0.101864049;0.073213385;-0.094449429;0.083052357;-0.086087295;0.092008;-0.07628375;0.099804615;-0.065965141;0.107052912;-0.054703499;0.112427917;-0.043155735;0.116511063;-0.03145594;0.118747168;-0.019657855;0.118322093;-0.007934425;0.116023575;0.015851937;0.111007969;0.028060357;0.109558846;0.040234486;0.107169405;0.052155182;0.10337754;0.064045689;0.098977436;0.075963344;0.094613825;0.087086644;0.089082526;0.096829253;0.081850805;0.105706929;0.073693146;0.112605008;0.063818169;0.118380038;0.053111069;0.122886024;0.041763575;0.126218525;0.030325731;0.129425108;0.019006681;0.132002438;0.007725639;0.132508741;-0.014808378;0.130539572;-0.025847145;0.127145492;-0.037056266;0.121467059;-0.047421055;0.114376757;-0.057176578;0.106106064;-0.066317229;0.09723092;-0.074994617;0.087771257;-0.082989396;0.076951483;-0.089337853;0.065490437;-0.094655853;0.053498664;-0.098122408;0.041421913;-0.100063314;0.029431877;-0.100725731;0.018126807;-0.101416905;0.007675374;-0.102128124
Callosciurus;Callosciurini;Callosciurinae;Callosciurus prevostii;Cal_pre;Seeds_nuts;chew_crush;nuts;;378;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;10.27400701;0.000361289;-0.105391271;-0.121647947;0.00479112;0.004863779;0.111442799;0.131597275;-0.002409743;-0.010849339;-0.110154303;-0.022870824;-0.114913282;-0.035900865;-0.118477779;-0.049969332;-0.120711694;-0.064742422;-0.121477433;-0.079847518;-0.118895992;-0.09437045;-0.112897548;-0.107034042;-0.103847817;-0.117483975;-0.092856019;-0.125107434;-0.080138621;-0.130013953;-0.066858723;-0.130538347;-0.05321717;-0.127906157;-0.03924881;-0.125141896;-0.024943096;-0.123078741;-0.010205957;-0.120509495;0.017375786;-0.118681826;0.029961103;-0.115301022;0.042294882;-0.112465882;0.054669581;-0.10844787;0.066472477;-0.102841246;0.077230994;-0.095603254;0.086818406;-0.087516214;0.095742073;-0.078204526;0.103356449;-0.068132162;0.109903546;-0.056736289;0.114067023;-0.044613312;0.116401709;-0.032216604;0.117173794;-0.01974991;0.116144954;-0.007511012;0.113672473;0.017141914;0.108403959;0.029630763;0.105919949;0.042204652;0.103143352;0.05481728;0.100551727;0.067111128;0.097222699;0.078766276;0.092734526;0.089961806;0.087615407;0.10001448;0.081208676;0.108803845;0.073887679;0.115038117;0.06431963;0.119834102;0.053726315;0.123265675;0.042383475;0.126360194;0.031055641;0.128886937;0.019814586;0.130136698;0.008581217;0.129994055;-0.013119379;0.127649307;-0.02405591;0.12361911;-0.034804456;0.118108688;-0.04509486;0.112129527;-0.055126472;0.104427435;-0.06385998;0.095962868;-0.071943768;0.086755708;-0.07933336;0.076491668;-0.085431623;0.06543981;-0.090177724;0.053874899;-0.093400483;0.042172001;-0.095269807;0.030718123;-0.097125622;0.019872358;-0.099271264;0.009902118;-0.102230281
Callosciurus;Callosciurini;Callosciurinae;Callosciurus pygerythrus;Cal_pyg;Frugivorous;chew_crush;soft;;265;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;8.017808107;0.00013204;-0.105706808;-0.119770783;0.005735519;0.005678178;0.115632428;0.13132607;-0.00056925;-0.010757885;-0.111594107;-0.022620656;-0.117768331;-0.03563045;-0.123019469;-0.049778872;-0.126676859;-0.064968409;-0.12738965;-0.080729558;-0.12491557;-0.095979341;-0.119531234;-0.108903453;-0.110325131;-0.119302104;-0.098593894;-0.127461287;-0.085447251;-0.131423614;-0.071016846;-0.13122615;-0.055979693;-0.129411654;-0.040651402;-0.126364043;-0.025215155;-0.123167632;-0.009713567;-0.116815323;0.018308883;-0.113851426;0.030880741;-0.110145538;0.043234027;-0.105814193;0.055254301;-0.101508974;0.067053941;-0.096540519;0.078082197;-0.090542011;0.08803542;-0.082651127;0.096358582;-0.073650334;0.103634216;-0.063417379;0.109543565;-0.052287414;0.113824856;-0.040992965;0.117174658;-0.029284642;0.118594159;-0.017517103;0.118511368;-0.005854509;0.117285834;0.017179349;0.112981989;0.028867851;0.11062;0.040669803;0.108138215;0.052176254;0.104215417;0.063519412;0.09942326;0.07463562;0.093886232;0.085164716;0.087376171;0.095027205;0.080291769;0.103299288;0.071729652;0.110607794;0.062584247;0.116023977;0.052436721;0.120603109;0.041763841;0.125366787;0.031413162;0.129078583;0.020954596;0.130963896;0.010247697;0.129657517;-0.011606454;0.127143219;-0.022936145;0.123233338;-0.034169686;0.118085114;-0.044936931;0.111388616;-0.054954018;0.103862211;-0.0644888;0.095054574;-0.072829405;0.085386172;-0.080260671;0.074522529;-0.085926878;0.063116052;-0.090691173;0.051077573;-0.093016937;0.039218104;-0.094710078;0.0277163;-0.094402259;0.017191785;-0.095550642;0.008164576;-0.099824965
Callosciurus;Callosciurini;Callosciurinae;Callosciurus quinquestriatus;Cal_qui;Browser;chew_crush;browse;;286.5;Koprowski, J., E. Goldstein, K. Bennett, and C. Pereira. 2016. Family Sciuridae. Pp. 648–987 in D. E. Wilson, T. E. Lacher Jr, and R. A. Mittermeier, eds. Handbook of the Mammals of the World Volume 6. Lagomorphs and Rodents. Lynx Edicions, Barcelona, Spain.;8.858599818;-0.001344048;-0.101518674;-0.122313173;0.00778099;0.004025974;0.110830731;0.129372015;0.001548003;-0.01283191;-0.107089796;-0.025402678;-0.113183361;-0.038803758;-0.118923342;-0.053370738;-0.122948482;-0.068713474;-0.125128689;-0.084320049;-0.124235847;-0.099041276;-0.119573634;-0.111292407;-0.110653636;-0.121168182;-0.099110859;-0.128130444;-0.085437594;-0.131087925;-0.070061435;-0.132400988;-0.054285887;-0.131286709;-0.038376782;-0.129884314;-0.022515753;-0.126704019;-0.007139777;-0.119154146;0.01993326;-0.115301261;0.031709593;-0.111459153;0.04338594;-0.106373954;0.054541922;-0.100557453;0.065209852;-0.094088857;0.075320234;-0.086582111;0.084586616;-0.077807448;0.092680647;-0.069073354;0.100760673;-0.059773283;0.107732717;-0.049344823;0.112425819;-0.038919459;0.116078894;-0.028221271;0.117180477;-0.017361973;0.116343826;-0.006638374;0.113820088;0.015203197;0.108525879;0.026812278;0.106876985;0.038623214;0.104113098;0.050692881;0.101502965;0.062988396;0.099440311;0.074851275;0.095799011;0.085992906;0.090649177;0.096276673;0.084473543;0.105292444;0.076996344;0.113105441;0.068594293;0.118390505;0.05840521;0.12262512;0.047685733;0.124943876;0.03637751;0.1264305;0.02479764;0.128494012;0.013251995;0.128099866;-0.010141899;0.126609699;-0.022004572;0.122386575;-0.033512133;0.117558872;-0.044881754;0.111948211;-0.055694719;0.105029787;-0.065580784;0.097213814;-0.074512902;0.087840711;-0.081896202;0.077541229;-0.08820365;0.066579894;-0.093295775;0.054736318;-0.095762412;0.04275578;-0.097480894;0.030849545;-0.098539081;0.019432576;-0.098679127;0.008662007;-0.099799373
